,date,text,user
64,2020-02-04 21:19:43+00:00, just seen our new got brexit done tea towel get yours now ,Conservatives
71,2020-01-31 23:01:00+00:00,boris lets get brexit done also boris got brexit done ,Conservatives
73,2020-01-31 21:41:00+00:00, january st mp of the day re elected as the conservative mp for uxbridge and south ruislip got brexit done ,Conservatives
79,2020-01-30 16:57:06+00:00, the official mug to celebrate the  votes that secured a conservative majority thats getting brexit done get yours ,Conservatives
86,2020-01-28 17:16:29+00:00, introducing our official limited edition brexit tea towel get yours now ,Conservatives
87,2020-01-28 16:57:56+00:00, official weve just dropped exclusive limited edition merchandise to celebrate brexit and our historic election win make sure you don t miss out ,Conservatives
123,2020-01-09 23:15:23+00:00, january th brexit secretary re elected as the conservative mp for north east cambridgeshire ,Conservatives
124,2020-01-09 17:31:58+00:00,this just happened labour tried to stop brexit by voting against the eu withdrawal agreement bill in parliament tell labour brexit will happen on st january join us now ,Conservatives
142,2019-12-20 19:16:00+00:00, were getting brexit done ,Conservatives
143,2019-12-20 15:16:05+00:00,we said wed get it done and on st january we will brexit secretary makes it clear ,Conservatives
144,2019-12-20 14:34:06+00:00,just passed conservative mps just voted to pass our brexit deal and get brexit done on st january  make sure everyone knows,Conservatives
226,2019-12-12 15:07:49+00:00, enough of the gridlock lets get brexit done back boris today ,Conservatives
237,2019-12-11 18:13:00+00:00,tomorrow vote to get brexit done ,Conservatives
242,2019-12-11 15:18:00+00:00,former labour peer lord sugar insists backing boris johnson is the only way britain can escape its brexit quagmire on thursday to get brexit done ,Conservatives
244,2019-12-11 13:58:36+00:00, get brexit done tomorrow ,Conservatives
247,2019-12-11 11:48:00+00:00, tomorrow get brexit done ,Conservatives
248,2019-12-11 10:45:00+00:00,only a conservative majority government will get brexit done so we can move on and focus on our priorities like investing in the nhs tomorrow ,Conservatives
249,2019-12-11 10:05:00+00:00, to get brexit done and get parliament working again for you ,Conservatives
250,2019-12-11 09:01:00+00:00,don t risk jeremy corbyn in downing street only a conservative majority will get brexit done ,Conservatives
254,2019-12-10 21:22:00+00:00,get brexit done docx,Conservatives
255,2019-12-10 21:02:00+00:00,labour s shadow health secretary jon ashworth confirms that the party has blocked brexit only a conservative majority government will get brexit done ,Conservatives
257,2019-12-10 19:59:33+00:00,break the gridlock get brexit done ,Conservatives
260,2019-12-10 17:52:58+00:00,let s break the gridlock get brexit done ,Conservatives
262,2019-12-10 15:38:00+00:00,corbyn higher taxes and more referendums to get brexit done ,Conservatives
263,2019-12-10 14:25:00+00:00, if we do break free there s a bright future waiting for us with all the opportunities of brexit  on thursday to get brexit done ,Conservatives
264,2019-12-10 13:07:00+00:00, every vote counts let s get brexit done ,Conservatives
