,date,text,user
161,2020-01-31 11:50:37+00:00,labour must summon the spirit of courage and radicalism to heal the divisions of brexit ,Keir_Starmer
260,2020-01-09 19:51:27+00:00,boris johnson has abandoned his commitment to allow child refugees to be reunited with their families after brexit we cannot let him get away with it sign our open letter to the prime minister today at ,Keir_Starmer
269,2020-01-07 22:40:00+00:00,johnsons decision to tear up the commitment to family reunion for unaccompanied refugee children after brexit is a disgrace tory mps should take a moral stance and force the government to rethink its approach on this vital issue my letter with ,Keir_Starmer
303,2019-12-20 15:44:47+00:00,the tories decision to drop the commitment to unaccompanied child refugees post brexit is a moral disgrace the government should scrap new clause retweet if you agree ,Keir_Starmer
306,2019-12-19 15:47:20+00:00,during the last parliament led the campaign to protect child refugees post brexit the tories now want to tear up those protections as we leave the eu we can t abandon our values we must stand up for the most vulnerable people in the world ,Keir_Starmer
309,2019-12-17 07:15:04+00:00,this is typical of the reckless and irresponsible behaviour we have come to expect from boris johnson s government the tories have shown once again that they are prepared to put people s jobs at risk in pursuit of a hard brexit ,Keir_Starmer
333,2019-12-06 10:02:30+00:00,boris johnson has been caught out lying again about the damaging impact of his brexit deal johnson has repeatedly said that his deal would mean there are no customs checks between ni and gb that the uk is kept together as we exit the eu and that it would be good for jobs ,Keir_Starmer
355,2019-11-29 12:14:21+00:00,this is a stark admission from boris johnson that a no deal brexit is still on the table his get brexit done rhetoric is an utter sham a vote for the conservatives in two weeks time will put people s jobs and livelihoods at risk ,Keir_Starmer
366,2019-11-24 17:11:28+00:00,the tories have confirmed it a vote for them is a vote for a no deal brexit ,Keir_Starmer
405,2019-11-12 20:10:46+00:00,this is what i looked like before brexit ,Keir_Starmer
434,2019-11-05 12:49:16+00:00,only labour will give the british people the final say on brexit ,Keir_Starmer
435,2019-11-04 12:37:05+00:00,this is a clear admission from the tories that they are preparing to jump through the no deal trapdoor next year electing a labour government is the only way to stop boris johnson and to prevent a no deal brexit ,Keir_Starmer
453,2019-10-30 09:23:07+00:00,boris johnson s brexit is a bad deal it will leave the economy bn worse off over the next decade the poorest in society will pay the highest price only labour can stop this ,Keir_Starmer
455,2019-10-29 21:23:39+00:00,this election is our chance to stop boris johnson s brexit and fight for a fairer country ,Keir_Starmer
465,2019-10-22 20:57:46+00:00,johnson is the author of his own misfortune he only tried to bounce his deal through parliament because he knows it will not withstand scrutiny a brexit deal driven by the ideology of deregulation must be stopped ,Keir_Starmer
468,2019-10-21 20:20:20+00:00,this is a bill to implement boris johnson s deeply flawed plan for brexit it is outrageous to deny parliament the chance to scrutinise this incredibly important legislation properly ,Keir_Starmer
469,2019-10-20 09:48:19+00:00,the fight against boris johnson s brexit is a fight for the future of our country ,Keir_Starmer
471,2019-10-19 16:12:18+00:00,if anyone is wondering why labour and the trade union movement could not support boris johnson s brexit watch this video ,Keir_Starmer
472,2019-10-19 12:57:53+00:00,boris johnson s brexit stands against everything the labour and trade union movement stands for ,Keir_Starmer
478,2019-10-17 14:27:38+00:00,labour will not support a flawed brexit deal that harms jobs rights and living standards this deal will unquestionably do that ,Keir_Starmer
485,2019-10-17 14:27:35+00:00,labour s concerns with theresa may s deal were not principally about the backstop they were about the political declaration and our future relationship with the eu after brexit ,Keir_Starmer
492,2019-10-12 12:44:35+00:00,whether johnson gets a deal or not we re heading for a deregulated economy with him losing vital rights and protections only labour will give the british people the final say on brexit and the chance to fight for remain my speech at ,Keir_Starmer
498,2019-10-08 15:29:28+00:00,the governments brexit proposals were designed to fail boris johnson is playing fast and loose with the countrys future ,Keir_Starmer
500,2019-10-08 09:41:51+00:00,this is yet another cynical attempt by number to sabotage the negotiations boris johnson will never take responsibility for his own failure to put forward a credible deal his strategy from day one has been for a no deal brexit ,Keir_Starmer
507,2019-10-02 21:11:40+00:00,classic hard brexit nonsense ,Keir_Starmer
508,2019-10-02 20:56:04+00:00,johnson s brexit plan is going nowhere did he seriously think otherwise more likely a cynical move not really intended to succeed ,Keir_Starmer
510,2019-09-30 21:08:23+00:00,if accurate these proposals represent yet another failure of the government s negotiating strategy the prime minister should admit he has no credible plan for brexit and that the only way to resolve this issue is to go back to the people with a public vote ,Keir_Starmer
526,2019-09-26 08:32:45+00:00,this morning i have written to michael gove demanding answers about operation yellowhammer a no deal brexit is not a game yesterday the public were subjected to the spectacle of a government minister playing politics with the future of our country ,Keir_Starmer
528,2019-09-25 16:49:50+00:00,this is not a game for the government to be five weeks away from a no deal brexit without a plan is unforgivable ,Keir_Starmer
534,2019-09-21 16:20:51+00:00,great to join this afternoon s rally at we can t trust boris johnson with the future of our country only a labour can deliver the referendum we need to break the brexit deadlock ,Keir_Starmer
549,2019-09-11 19:42:35+00:00, boris johnson must now admit that he has been dishonest with the british people about the consequence of a no deal brexit ,Keir_Starmer
550,2019-09-11 19:41:58+00:00, these documents confirm the severe risks of a no deal brexit which labour has worked so hard to block it is completely irresponsible for the government to have tried to ignore these stark warnings and prevent the public from seeing the evidence ,Keir_Starmer
561,2019-09-06 15:17:09+00:00,hugely important victory in the fight to stop boris johnson s plan for a no deal brexit we will not let this prime minister put jobs and the economy at risk ,Keir_Starmer
565,2019-09-03 21:30:12+00:00,hugely important first step in stopping boris johnson s plan for a no deal brexit important we remain united in making sure the bill becomes law in the coming days ,Keir_Starmer
