,date,text,user
33,2020-02-06 15:45:53+00:00,very proud of this budget against a backdrop of brexit amp tory austerity we re investing strongly in the economy public services amp tackling the climate crisis i am also v proud of who has stepped up in tough circumstances and shown what a talent she is ,NicolaSturgeon
49,2020-01-31 10:28:28+00:00,read my full brexit day speech on scottish independence here,NicolaSturgeon
174,2019-12-12 20:48:31+00:00,just over an hour left to cast your vote vote to get tories out escape brexit and put scotland s future in scotland s hands this election really matters and every vote will count ,NicolaSturgeon
182,2019-12-12 07:02:11+00:00,polls are now open in vote to lock the tories out escape brexit and put scotland s future in scotland s hands ,NicolaSturgeon
187,2019-12-11 21:05:12+00:00,nowhere better to end the campaign than in the gorbals with the brilliant good luck to all candidates and teams tomorrow i m so proud of all of you let s lock the tories out escape brexit and put scotland s future in scotland s hands ,NicolaSturgeon
208,2019-12-05 15:50:57+00:00,seven days to stop boris johnson escape the brexit mess and put scotland s future in scotland s hands ,NicolaSturgeon
224,2019-11-28 13:07:31+00:00,polls no matter how good don t win elections only votes do only can beat the tories in scotland provide an escape route from brexit and put scotland s future in scotland s hands ,NicolaSturgeon
258,2019-11-17 20:10:41+00:00,this pic from today s campaign stop with in clarkston captures my fave conversation of the day marie yo was telling me why she didn t like brexit i also got short shrift when i tried to pinch one of her marshmallows a very smart wee girl future fm i think ,NicolaSturgeon
287,2019-11-11 12:36:22+00:00,the tory party has now effectively become the brexit party is the main challenger in all of their scottish seats defeating the tories here will help deprive boris johnson s increasingly extreme and right wing party of the majority they crave ,NicolaSturgeon
288,2019-11-11 12:25:11+00:00,any form of brexit that is acceptable to nigel farage will be deeply damaging for scotland makes it all the more important to get rid of boris johnson s tories escape brexit and put scotland s future into scotland s hands ,NicolaSturgeon
299,2019-11-08 13:53:36+00:00,successful campaign launch in edinburgh this morning making the case for people to vote snp to get rid of boris johnson escape brexit and put scotland s future into scotland s hands ,NicolaSturgeon
304,2019-11-06 13:46:17+00:00,lots of enthusiastic supporters of out in alloa today winning seats like this from the tories is the main challenger in all scottish tory seats will help us escape the brexit mess and put scotland future in scotland s hands ,NicolaSturgeon
314,2019-11-04 13:13:08+00:00,this makes a no deal brexit a significant risk in fact given the likely impossibility of agreeing a trade deal in less than a year it would make it almost inevitable in a nutshell this is a reason to get tory mps out is the challenger in all scottish tory seats ,NicolaSturgeon
326,2019-11-01 22:25:06+00:00,what a brilliant champion for scotland has been in the house of commons throughout this brexit mess if you agree please support his campaign for re election ,NicolaSturgeon
327,2019-11-01 22:22:31+00:00,join me tomorrow in george square for rally let s stop brexit and put scotland s future in scotland s hands ,NicolaSturgeon
331,2019-11-01 13:14:24+00:00,great time in leith this morning with the fantastic in to escape the chaos of brexit and put scotland s future in scotland s hands ,NicolaSturgeon
338,2019-10-30 09:33:38+00:00,seeing lots of chat this morning about tactical voting to maximise remain vote is the challenger in every tory held seat in scotland so if you want to stop brexit and remove boris johnson is the only way to do it ,NicolaSturgeon
339,2019-10-29 21:32:02+00:00, is on and is up and running i ll be joining in stirling tomorrow as we launch our campaign to stop brexit and demand scotland s right to choose independence good luck to all our candidates and teams ,NicolaSturgeon
345,2019-10-27 09:56:07+00:00, finally all of this brexit chaos is being imposed on scotland against our will to stop this ever happening again we need to be independent which is why the demand for will be at heart of campaign ends,NicolaSturgeon
347,2019-10-27 09:51:45+00:00, to change the course johnson is taking us on we need to beat him i accept that challenge for in scotland other parties have to do the same elsewhere in uk doing nothing almost guarantees he gets what he wants brexit delivered possibly through no deal ,NicolaSturgeon
348,2019-10-27 09:51:15+00:00, for all his bluster johnson would much prefer to fight an election with brexit already delivered an election now would instead force him to explain his failure to keep his october do or die promise and also defend his bad deal ,NicolaSturgeon
355,2019-10-25 08:30:50+00:00,as the brexit chaos continues a message from me and to eu nationals living in scotland ,NicolaSturgeon
357,2019-10-24 17:12:14+00:00,so johnson appears to be saying to mps if you vote for an election i ll bring back my bad brexit bill and try to drag us out of the eu before we go to the polls elections should be exercises in letting voters decide not devices for charlatans to get their own way ,NicolaSturgeon
360,2019-10-21 16:55:52+00:00,we ve seen today that even the westminster brexit secretary hasn t yet grasped the details of this deal trying to ram through legislation of this complexity significance and long lasting consequences in just days is an abomination of scrutiny and democracy ,NicolaSturgeon
374,2019-10-19 09:45:05+00:00,johnson has broken virtually every past promise he has made on brexit how anyone could believe promises he makes now on workers rights or anything else is beyond me caveat emptor should be the words ringing in ears of any labour mp thinking of backing this deal ,NicolaSturgeon
377,2019-10-18 16:57:36+00:00,very proud of this guy as leader of westminster group has played a blinder opposing brexit and standing up for scotland good to catch up with him in his commons office earlier ,NicolaSturgeon
379,2019-10-18 12:26:52+00:00,good to catch up with the snp mp group in the commons today so proud of the work they do to stand up for scotland s interests every day they re doing everything possible to stop brexit but also demonstrating that the best future for scotland is independence ,NicolaSturgeon
381,2019-10-18 06:22:28+00:00,hope i m wrong but i have a real suspicion that labour would be quite happy to see this deal go through they will officially oppose but give nod to rebels to ensure numbers there to pass it will be the end of them in scotland if they do end up facilitating brexit ,NicolaSturgeon
384,2019-10-17 10:49:05+00:00, brexit has shown that the only way for scotland to be in charge of our own future is to become independent that why we must have next year,NicolaSturgeon
385,2019-10-17 10:48:38+00:00, mps should not fall for a deal no deal framing no brexit revoke is always an alternative to no deal ,NicolaSturgeon
387,2019-10-17 10:46:15+00:00, seems to me that no one who voted against may s deal on basis it lacked strong enough assurances about closeness of future relationship could possibly vote for this much harder brexit beckons if this deal passes ,NicolaSturgeon
403,2019-10-08 10:28:14+00:00,the uk government s attempt to shift the blame for the brexit fiasco to anyone but themselves today it s merkel is pathetically transparent ,NicolaSturgeon
423,2019-10-02 15:11:43+00:00,hard to see how the uk government brexit proposals fly and hard to escape conclusion that they re designed to fail for scotland the fundamental point remains these proposals would take us out of the eu single market and customs union against our will that s unacceptable ,NicolaSturgeon
426,2019-09-30 16:21:35+00:00,hard to overstate how big a blunder supporting a no deal brexit is from jackson carlaw ,NicolaSturgeon
428,2019-09-30 06:43:59+00:00,in supporting a catastrophic no deal brexit the scottish tories are putting the demands of boris johnson ahead of the interests of the scottish people who voted overwhelmingly against any kind of brexit ,NicolaSturgeon
451,2019-09-25 18:22:56+00:00,johnson should stop his shameful game playing if he requests an extension and removes risk of no deal on october will vote for an election the ball s in his court but he must think we button up the back if he believes we ll let him force through a no deal brexit ,NicolaSturgeon
454,2019-09-24 12:28:23+00:00,he can t have it both ways either prorogation was nothing to do with brexit as he claimed or having prorogation declared unlawful frustrates brexit it can t be both ,NicolaSturgeon
458,2019-09-23 16:50:46+00:00,labour rejects a clear pro remain position and instead stays firmly perched on the brexit fence an abdication of leadership ,NicolaSturgeon
475,2019-09-17 21:57:54+00:00, staying neutral on brexit is a shameful abdication of leadership ,NicolaSturgeon
510,2019-09-06 11:52:47+00:00, and when the election does come as it soon will will put scotland s opposition to brexit and our right to choose our own future as an independent nation at the very heart of the contest ,NicolaSturgeon
512,2019-09-06 11:48:39+00:00, an early general election is now a question of when not if but johnson mustn t be allowed to dictate the timing as a device to avoid scrutiny and force through a no deal brexit ,NicolaSturgeon
515,2019-09-04 11:31:25+00:00, not allowing johnson to cut and run for an election simply as a tactic to force through a no deal brexit is one thing and why opposition right to insist on passage of anti no deal bill but ,NicolaSturgeon
518,2019-09-03 21:34:21+00:00,scotland voted to remain in the eu and yet not a single scottish tory mp voted to prevent a no deal brexit tonight ,NicolaSturgeon
522,2019-09-02 11:53:57+00:00,as talk of a general election mounts i say bring it on but it must be before oct mps must not allow johnson to game the date as a ploy to push through a no deal brexit ,NicolaSturgeon
539,2019-08-28 16:05:50+00:00,open letter on the eve of poll from the excellent say no to brexit vote snp ,NicolaSturgeon
543,2019-08-28 09:09:22+00:00,given her past statements opposing a no deal brexit it would be good to have confirmation from ruth davidson today that all scots tory mps will back the cross party effort next week to stop it and that they will also oppose boris johnson s attempt to shut down parliament ,NicolaSturgeon
544,2019-08-28 08:13:30+00:00,so it seems that boris johnson may actually be about to shut down parliament to force through a no deal brexit unless mps come together to stop him next week today will go down in history as a dark one indeed for uk democracy ,NicolaSturgeon
566,2019-08-15 12:22:05+00:00,to be clear remains willing to work across party lines and explore all options to stop a no deal brexit jeremy corbyn s suggestion is not the only possible option but given the circumstances nothing should be ruled out at this stage should rethink ,NicolaSturgeon
636,2019-07-23 12:04:23+00:00, most immediately i and will work with others to do everything we can to block his plan for a no deal brexit which would do catastrophic harm to scotland ,NicolaSturgeon
774,2019-06-12 11:00:23+00:00,ruth davidson is supporting a candidate who says he favours a catastrophic no deal brexit over no brexit at all what a turn around from the great remainer of wembley stadium and hard to imagine a position more out of touch with the vast majority in scotland ,NicolaSturgeon
777,2019-06-10 08:43:01+00:00,what a horror show the tory leadership election is tax cuts for the richest attacks on abortion rights hypocrisy on drugs continued brexit delusion true colours well and truly on show ,NicolaSturgeon
808,2019-05-30 13:32:32+00:00, some way off can someone tell jeremy that a disastrous no deal brexit on october is currently the default option he needs to get off the fence asap and support a second referendum unequivocally there is no time to waste ,NicolaSturgeon
809,2019-05-29 20:21:02+00:00,this is jaw dropping from telling people in that brexit would be a disaster to now seeking support for a tory candidate because he voted for brexit there is not a shred of principle or consistency at play here ,NicolaSturgeon
812,2019-05-29 08:54:29+00:00,just published a bill to set the rules for an independence referendum to allow the scottish people to choose our own future rather than having a brexit future imposed on us will update later on it and our plans for cross party talks and a citizens assembly,NicolaSturgeon
819,2019-05-27 11:22:53+00:00,congratulations to our new meps and and thanks to all our fantastic candidates thank you also to all who voted for us and delivered this historic result scotland has spoken we are not for brexit ,NicolaSturgeon
821,2019-05-27 00:06:13+00:00,obviously i m delighted with result but genuinely sad for he has been an excellent mep and passionately anti brexit he was one of the very last labour people who deserved to pay the price for his party s prevarication ,NicolaSturgeon
823,2019-05-26 23:30:33+00:00,formal declaration to come but clear now that has won the euro election emphatically we are on course to take out of seats a historic victory and scotland has rejected brexit again ,NicolaSturgeon
826,2019-05-26 22:57:57+00:00,outstanding results so far tonight for on course for our best ever euro election result polling way ahead of any other party higher in scotland than brexit party s current share in ruk emphatically clear that scotland doesn t want brexit,NicolaSturgeon
834,2019-05-24 10:32:15+00:00,that boris johnson as pm is a serious proposition is proof that the tories have taken leave of their senses nothing apart from brexit obvs has done more to trash the uk s global reputation in last three years than his risible tenure as foreign secretary,NicolaSturgeon
836,2019-05-24 09:24:21+00:00, the prospect of an even more hardline brexiteer now becoming pm and threatening a no deal exit is deeply concerning added to the experience of the past three years this makes it all the more important that scotland is given the choice of becoming an independent country ,NicolaSturgeon
837,2019-05-24 09:21:38+00:00, her departure will not solve the brexit mess that the tories have created only putting the matter back to the people can do that given current circumstances it also feels deeply wrong for another tory to be installed in number without a general election ,NicolaSturgeon
838,2019-05-24 09:21:03+00:00, i wish theresa may well she and i had profound disagreements not least on her handling of brexit and her disregard for scotland s interests however leadership is tough especially in these times and she deserves thanks for her service ,NicolaSturgeon
864,2019-05-22 07:02:05+00:00,there s a pattern here when bad things look unlikely to happen ie brexit before the referendum or boris as pm a few months ago ruth davidson opposes them because it s safe but when these things do happen or look likely to she falls meekly into line that s not leadership ,NicolaSturgeon
866,2019-05-21 16:44:13+00:00,met earlier with people from other eu countries who live in scotland my message is that they are welcome here and we want them to stay by voting on thursday scotland can send a clear message that we don t want brexit and all the damage it will do ,NicolaSturgeon
868,2019-05-21 15:37:57+00:00, in pm s own words if mps vote against the bill they will be voting to stop brexit that is what will do because scotland did not vote for brexit ,NicolaSturgeon
872,2019-05-20 13:14:42+00:00,good visit with to fish processor j charles in aberdeen earlier to hear concerns about the damage brexit will do to business thanks to andrew and his team for the warm welcome,NicolaSturgeon
883,2019-05-17 10:57:55+00:00,delighted to launch manifesto for the with our fantastic team of candidates on thursday let s send a clear message that scotland s not for brexit scotland s for europe ,NicolaSturgeon
884,2019-05-15 18:57:49+00:00,the recommendation to voters in scotland from this research is explicit and clear if you want to stop brexit vote ,NicolaSturgeon
888,2019-05-15 12:46:13+00:00,great visit to my alma mater this morning to talk about the work they are doing to support staff and students from other eu countries during the brexit uncertainty thanks for the welcome and for giving me one of the uni s new diversity badges ,NicolaSturgeon
914,2019-05-03 20:09:09+00:00,for some bad jokes tired lines and ample evidence that the tories are way out of touch with scottish opinion on brexit here s a preview of ruth davidson s conference speech courtesy of the tories who forgot to switch the mic off during the practice ,NicolaSturgeon
920,2019-05-03 07:57:39+00:00,the scottish tories have got themselves in a corner they are now a brexit supporting party in an overwhelmingly remain country which already narrows appeal but they also can t even claim to have delivered brexit not much principle or strategic nous on display ,NicolaSturgeon
922,2019-05-03 07:36:18+00:00,if the message labour takes from english local elections is that they should now be the facilitator of a tory brexit i suspect their troubles will just be beginning ,NicolaSturgeon
935,2019-04-30 16:14:11+00:00,confirmation if it was needed that labour is a brexit supporting party problem is a labour brexit just like a tory brexit will hurt scotland so if you want to keep scotland in europe and make sure that our voice is heard vote on may ,NicolaSturgeon
979,2019-04-18 07:30:58+00:00,this is an excellent piece by about how we learn from the grave errors of the brexiteers build an inclusive case for independence and value the bonds of friendship that will always endure across our islands well worth a read ,NicolaSturgeon
992,2019-04-13 08:58:06+00:00,great piece from whose clarity of insight and commentary on brexit is always first class ,NicolaSturgeon
1006,2019-04-06 20:26:57+00:00,if the detail of this is true and i accept it is only an if labour will never be forgiven a deal that would see them vote for a tory brexit with a nod and a wink agreement to kill off a people s vote ,NicolaSturgeon
1032,2019-04-02 08:00:12+00:00,this blog from explains why snp mps voted as we did last night we prioritised options that would stop brexit and remove the risk of a no deal exit but we also showed a willingness to compromise by voting for a single market customs unions option ,NicolaSturgeon
1034,2019-04-01 16:14:12+00:00,genuinely can t think of any good reason why labour mps would not vote for option tonight it provides an insurance policy against a no deal brexit and doesn t mean that article couldn t be triggered again in future if uk manages to work out what it wants ,NicolaSturgeon
1036,2019-04-01 12:50:11+00:00,really important to remember that tonight s votes are not on a preferential basis an snp vote for sm cu would only be to keep that option alive in case it later becomes only alternative to a harder brexit our preference is stopping brexit ,NicolaSturgeon
1037,2019-04-01 08:52:01+00:00,snp will decide votes when we see detail of what is selected later today s vote is not on a preferential basis so there may be an opportunity to keep alive least worst options against no deal hard brexit but to be clear our preference is not soft brexit it is no brexit ,NicolaSturgeon
1038,2019-04-01 08:14:34+00:00,today in scotland the new domestic abuse act comes into force free personal care is extended to the under s prescription charges rise to in england but remain without charge here as the uk government is consumed by brexit is getting on with the job ,NicolaSturgeon
1039,2019-04-01 07:39:12+00:00,the most important motion laid today is this one from it makes revoking article rather than a no deal brexit the default option if parliament can t agree a way forward i hope all parties will support ,NicolaSturgeon
