,date,text,user
115,2019-12-12 14:15:00+00:00, for the final say on brexit ,UKLabour
139,2019-12-12 07:06:28+00:00, polls are open now vote labour today for the many not the few vote labour to save our nhs vote labour to save the planet vote labour to give people the final say on brexit find your polling station and pass it on ,UKLabour
158,2019-12-11 19:10:00+00:00,vote to save our nhs vote to save the planet vote for a pay rise for britains workers vote for the final say on brexit vote for the older people forced to sell their homes to pay for care vote tomorrow for people without a home tonight ,UKLabour
168,2019-12-11 15:00:01+00:00, december to give people the final say on brexit make a plan for polling day with our polling station finder ,UKLabour
232,2019-12-09 20:57:16+00:00,only labour can stop boris johnson if you want the final say on brexit ,UKLabour
234,2019-12-09 20:53:17+00:00,our brexit plan is simple deliver a second referendum negotiate a better deal and put it to the people within six months with the option to leave or remain ,UKLabour
245,2019-12-09 17:45:00+00:00, december to give people the final say on brexit make a plan to get to the polls here ,UKLabour
289,2019-12-08 18:37:00+00:00,the tories haven t bothered showing up for tonight this just proves that all they have to offer is a disastrous brexit deal they don t care about the nhs they don t care about homelessness they don t care about children living in poverty they are not on your side ,UKLabour
338,2019-12-06 20:45:08+00:00,boris johnson is lying to you about his plan for brexit and his own governments report proves it ,UKLabour
339,2019-12-06 20:37:57+00:00,our brexit plan is simple because we re a sensible deal secured within months the final say vote on the deal with option to remain ,UKLabour
351,2019-12-06 10:23:12+00:00,breaking a secret government report proves boris johnson is lying to the public about his plan for brexit if boris johnson hid this report what else is he hiding boris johnson and the tories cant be trusted ,UKLabour
369,2019-12-05 14:48:00+00:00, week to go vote labour to save the nhs vote labour to put money back in your pocket vote labour to get a final say on brexit vote labout to save the planet vote labour on thursday december th,UKLabour
384,2019-12-04 18:01:00+00:00,our brexit plan will bring our country together because we are a sensible deal secured within months the final say vote on the deal with option to remain ,UKLabour
412,2019-12-03 13:21:00+00:00,dominic raab a tory minister in boris johnsons government has admitted the us will be able to ramp up the cost of drugs bought by the nhs after brexit he co authored a book on nhs privatisation our nhs is not for sale ,UKLabour
