,date,text,user
23,2020-02-01 21:41:35+00:00,thank you to and to everyone at dexeu for all of your hard work and dedication in getting brexit delivered ,BorisJohnson
25,2020-01-31 23:00:58+00:00,tonight we have left the eu an extraordinary turning point in the life of this country let us come together now to make the most of all the opportunities brexit will bring and let s unleash the potential of the whole uk ,BorisJohnson
35,2020-01-28 22:09:08+00:00, will brexit affect my holiday i ve answered some of your top searched questions about brexit and what happens when we leave the eu on friday ,BorisJohnson
60,2019-12-31 09:12:00+00:00,we are going to level up and unite our country we are going to get brexit done and deliver the change that people voted for and we are going to protect and invest in our amazing nhs ,BorisJohnson
63,2019-12-28 10:20:00+00:00,we are going to get brexit done and unite our fantastic country ,BorisJohnson
71,2019-12-21 12:43:00+00:00,we are getting brexit done ,BorisJohnson
72,2019-12-20 14:57:01+00:00,the second reading of the withdrawal agreement bill has passed which means we are one step closer to getting brexit done ,BorisJohnson
76,2019-12-18 16:39:46+00:00,we will work flat out not just to get brexit done but to deliver on all the key priorities of the british people ,BorisJohnson
77,2019-12-18 13:13:00+00:00,thank you for the trust you have placed in me we are going to level up and unite our country we are going to get brexit done and deliver the change that people voted for and we are going to protect and invest in our amazing nhs ,BorisJohnson
90,2019-12-12 19:05:00+00:00,vote conservative to get brexit done ,BorisJohnson
91,2019-12-12 17:32:00+00:00,you have until pm tonight to vote to get brexit done ,BorisJohnson
92,2019-12-12 17:07:00+00:00,we will get brexit done so that we can get on with delivering on your priorities ,BorisJohnson
93,2019-12-12 16:30:00+00:00,vote conservative today to get brexit done,BorisJohnson
94,2019-12-12 16:02:00+00:00,today at the ballot box you have the opportunity to tell politicians that you want brexit done vote conservative ,BorisJohnson
96,2019-12-12 14:30:00+00:00,we are a great country and we can be greater still vote today to get brexit done vote conservative ,BorisJohnson
97,2019-12-12 14:03:00+00:00,together we can get brexit done ,BorisJohnson
98,2019-12-12 13:40:00+00:00,back me to get brexit done vote conservative today ,BorisJohnson
99,2019-12-12 13:16:00+00:00,let s finally get brexit done ,BorisJohnson
100,2019-12-12 13:03:00+00:00,vote conservative today to get brexit done ,BorisJohnson
102,2019-12-12 11:04:00+00:00,vote to get brexit done and unleash britain s potential vote conservative ,BorisJohnson
