,date,text,user
47,2020-01-16 11:47:10+00:00, welcomes the fair amp balanced deal veterans commissioner the armed forces covenant an ulster british commissioner amp the commitments on brexit but presses to ensure resources are there to sustain devolution amp that c amp s money is delivered in full ,duponline
58,2019-12-19 12:58:43+00:00, speaking after todays queens speech in parliament on measures to protect soldiers against prosecution and on brexit ,duponline
64,2019-12-10 21:06:42+00:00, the dup have been crucial on brexit send a strong unionist team to westminster ,duponline
136,2019-10-28 19:05:10+00:00, speaking in this evening s debate we are not trying to stop brexit we have been pilloried because we are determined to deliver brexit ,duponline
145,2019-10-23 11:20:13+00:00,lets talk dup urges boris johnson as vote puts brexit deal in limbo ,duponline
146,2019-10-22 18:57:05+00:00,nigel dodds to pm talk to us again about what can be done at this late stage to ensure we join in this great quest together to get brexit done but as one united kingdom ,duponline
154,2019-10-20 14:29:33+00:00,news get brexit done for the whole of the united kingdom democratic unionist party ,duponline
156,2019-10-19 10:22:09+00:00, weariness in this house should not be an excuse for weakness on brexit or on the union ,duponline
181,2019-09-12 16:07:21+00:00,news brexit steering group should cease scaremongering and seek consensus dodds democratic unionist party ,duponline
229,2019-08-02 14:09:37+00:00,dup representatives meet psni on brexit readiness planning democratic unionist party ,duponline
237,2019-07-31 19:26:21+00:00,we want to work with the prime minister to strengthen the union get brexit delivered restore devolution in ni ,duponline
239,2019-07-31 17:36:44+00:00,today the dup met with the prime minister at stormont on brexit our message was clear ,duponline
249,2019-07-25 11:36:48+00:00, strengthen the union get brexit delivered and get devolution restored in northern ireland outlines the dup priorities ifor discussion with ,duponline
303,2019-05-15 17:16:27+00:00,if the prime ministers deal remains the same then the problem remains the same the backstop is the problem it divides the united kingdom defend the union deliver brexit ,duponline
311,2019-05-11 13:23:09+00:00,defend the union deliver brexit,duponline
336,2019-04-05 17:19:13+00:00,steve spend less time manufacturing attacks on fellow unionists and take the weekend to figure out your partys position on brexit ,duponline
338,2019-04-02 21:05:57+00:00,dup statement the prime minister s lamentable handling of the negotiations with the eu means she has failed to deliver a sensible brexit deal that works for all parts of the uk full statement amp get involved ,duponline
340,2019-04-01 10:35:34+00:00,the voters got it right on brexit we joined as one so we must leave as one  get involved ,duponline
346,2019-03-27 12:30:27+00:00,speaking in the earlier northern ireland mep says the integrity of the united kingdom is not the price to pay for brexit deal ,duponline
373,2019-02-16 12:55:50+00:00, the only way to a majority in parliament is through the votes of conservative mps dup mps and labour mps who do not want to thwart brexit ,duponline
382,2019-01-30 15:22:54+00:00,gregory campbell ensuring that attempts to link the dissident republican attack in londonderry to brexit do not go unchallenged ,duponline
413,2019-01-09 12:52:22+00:00, has responded to the governments brexit proposals for northern ireland read full statement ,duponline
444,2018-12-03 17:40:08+00:00, watch respond to the attorney generals statement on brexit legal advice ,duponline
482,2018-11-14 13:12:18+00:00, the house spoke clearly yesterday and that must be acceded to by the government calls for no delay in the publication of brexit legal advice ,duponline
546,2018-09-04 17:04:15+00:00, responding to statement from brexit secretary some are using the border amp peace process to either thwart brexit or mould it in their own way ,duponline
