,date,text,user
32,2020-01-31 15:33:05+00:00,the choice of which path we take for a post brexit britain now lies before us ,jeremycorbyn
228,2019-12-09 12:32:41+00:00,the conservative slogan get brexit done is a fraud on the british people johnson s deal will be just the beginning of years more painful negotiations labour will get brexit sorted in six months because we won t be ripping up our main trading relationship ,jeremycorbyn
279,2019-12-06 12:41:07+00:00,if some accuse me of talking to both sides in the brexit debate then so be it i m proud of it why would i only want to talk to half the country i don t want to live in half a country a prime minister must talk and listen to everyone and bring our divided country together ,jeremycorbyn
280,2019-12-06 11:45:29+00:00,this leaked government document shows boris johnson hasnt been telling the truth to the people of our country about his damaging brexit deal his deal will cause huge price rises economic damage to northern ireland scotland and wales and place a border down the irish sea,jeremycorbyn
470,2019-11-22 20:06:21+00:00,i understand his frustration we have to get brexit sorted this is how ,jeremycorbyn
471,2019-11-22 20:05:17+00:00,as prime minister i will be an honest broker and not campaign for either side in the final say referendum we will negotiate a good deal put that to the people alongside remain and then implement your decision we must bring the country together and get beyond brexit ,jeremycorbyn
486,2019-11-21 12:33:19+00:00,we can end privatisation and rescue our nhs we can get brexit sorted and bring our country together we can tackle the climate crisis that threatens us all and we can rewrite the rules of our economy to work for the many not the few the future is ours to make ,jeremycorbyn
498,2019-11-19 22:10:51+00:00,this is a once in a generation election to give the nhs the funding it needs give the people the final say on brexit tackle the climate crisis and invest in good jobs in every corner of britain i ask that you vote for hope and vote for labour on th december ,jeremycorbyn
606,2019-11-09 21:25:37+00:00,you cant trust boris johnson on brexit or anything else ,jeremycorbyn
643,2019-11-06 08:00:12+00:00,we will reduce nhs waiting times get brexit sorted in six months kick start a green industrial revolution build a million genuinely affordable homes within years we will end in work poverty food bank use rough sleeping tuition fees,jeremycorbyn
646,2019-11-05 20:31:05+00:00,labour will get brexit sorted within six months by giving you the final say ,jeremycorbyn
650,2019-11-05 12:04:45+00:00,secure a credible deal in three months put it to the people for the final say with the option to remain in six months that s our brexit policy ,jeremycorbyn
653,2019-11-05 07:01:00+00:00,the conservatives wont win support for their plans if they call it what it is thatcherism on steroids so they re trying to do it under the banner of brexit instead ,jeremycorbyn
701,2019-10-31 08:38:26+00:00,boris johnson has spent months promising wed leave the eu today the failure to do so is his and his alone labour will get brexit sorted by giving the people the final say within six months with the choice of a credible leave deal or remain and well carry out what you decide ,jeremycorbyn
702,2019-10-31 07:58:00+00:00,boris johnson s toxic brexit trade deal with donald trump could hand million a week of nhs money to big drugs corporations we will stop them the nhs is ours and it s not up for grabs ,jeremycorbyn
722,2019-10-28 21:04:23+00:00,this confirms what we know would happen with a johnson trump trade deal the tories would put our nhs at the mercy of us pharmaceutical tech and private healthcare companies we will stop a no deal brexit and johnsons sell out brexit deal ,jeremycorbyn
740,2019-10-26 09:11:20+00:00,this confirms our worst fears boris johnson s sell out brexit is a blueprint for a deregulated economy where vital rights and protections are torn up he has no intention of upholding our high standards after we leave the eu you can t trust a word boris johnson says ,jeremycorbyn
771,2019-10-19 14:48:08+00:00,boris johnsons deal has been defeated he must now obey the law there cannot be a no deal crash out from the european union and we must give the people the final say on brexit ,jeremycorbyn
773,2019-10-19 12:09:19+00:00,we will vote today to stop boris johnson forcing through a no deal brexit or a blackmail vote on his sell out deal ,jeremycorbyn
777,2019-10-18 21:35:44+00:00,the labour movement stands united in opposing boris johnsons sell out brexit deal this deal is a blatant attempt to dismantle our hard won workers rights consumer protections and environmental standards tomorrow well come together to reject it ,jeremycorbyn
841,2019-10-06 08:04:29+00:00,the only people who won t suffer from boris johnsons brexit plans are his super rich donors currently betting against the pound ,jeremycorbyn
918,2019-09-21 11:52:49+00:00,were in brighton for labour party conference today well be setting out our plans to end the brexit crisis kicktart a green industrial revolution and put wealth and power in the hands of the many not the few follow all of the speeches here ,jeremycorbyn
938,2019-09-17 18:39:32+00:00,labour will stop a no deal brexit deliver a public vote and put power back into the hands of the people my article in the ,jeremycorbyn
962,2019-09-11 20:33:48+00:00,official government documents confirm boris johnson is prepared to punish those who can least afford it with a no deal brexit to benefit his wealthy friends he must be stopped ,jeremycorbyn
971,2019-09-10 08:00:40+00:00,a no deal brexit wouldn t affect boris johnson and his wealthy friends its not their livelihoods on the line ,jeremycorbyn
994,2019-09-03 13:52:34+00:00,today i met again with opposition parties as labour works across parliament to prevent a disastrous no deal brexit ,jeremycorbyn
1001,2019-09-02 09:36:23+00:00,boris johnsons plans to shut down parliament to force through a no deal brexit is an attack on our democracy we are doing everything possible to pull the country back from the brink ,jeremycorbyn
1002,2019-09-01 13:48:33+00:00,any move to ignore an act of parliament would be a full blown attack on our constitution were doing everything possible to prevent the disaster of a no deal brexit johnson s attempts to undermine parliamentary sovereignty are shameful and will be fought every step of the way ,jeremycorbyn
1014,2019-08-28 11:18:07+00:00,boris johnson s attempt to suspend parliament to avoid scrutiny of his plans for a reckless no deal brexit is an outrage and a threat to our democracy labour will work across parliament to hold the government to account and prevent a disastrous no deal ,jeremycorbyn
1018,2019-08-27 16:30:48+00:00,we must find common ground and a practical way to stop this disastrous no deal brexit ,jeremycorbyn
1019,2019-08-27 08:25:21+00:00,a no deal brexit is really a trump deal brexit it will put us at the mercy of the big us corporations desperate to get their teeth into our nhs sound the death knell for our steel industry and strip back our food standards and animal welfare protections ,jeremycorbyn
1020,2019-08-26 21:26:53+00:00,i will do everything i can to stop a no deal bankers brexit ,jeremycorbyn
1025,2019-08-24 18:14:11+00:00,small business owners like chloe are fed up with the governments chaotic approach to brexit ,jeremycorbyn
1030,2019-08-23 10:20:15+00:00,british lamb is a billion pound industry and of its exports go to the eu its just one of many british industries under severe threat from a no deal brexit ,jeremycorbyn
1032,2019-08-22 16:32:44+00:00,sheep farming in cumbria isnt just a job its a tradition passed from generation to generation we will do everything we can to stop the tories pointless no deal brexit damaging it ,jeremycorbyn
1034,2019-08-21 16:22:18+00:00,the chaos of boris johnson s no deal brexit is real and threatening as the leaked operation yellowhammer dossier makes crystal clear ive invited party leaders and senior backbenchers from across parliament to meet to discuss all tactics available to prevent no deal ,jeremycorbyn
1041,2019-08-19 13:53:57+00:00,a general election triggered by the tory brexit crisis puts our country at a crossroads a once in a generation chance for a real change of direction ,jeremycorbyn
1061,2019-08-15 09:23:43+00:00,ive written to the leaders of other political parties and senior backbenchers from across parliament to lay out my plan to stop a disastrous no deal brexit and let the people decide the future of our country ,jeremycorbyn
1090,2019-08-06 08:06:24+00:00,boris johnson and his billionaire friends wont be affected by rising food prices in a no deal brexit ,jeremycorbyn
1099,2019-08-03 12:36:09+00:00,boris johnson and his millionaire friends wont be affected by rising food prices in a no deal brexit ,jeremycorbyn
1103,2019-08-02 13:31:04+00:00,im in scarborough talking with people about how a no deal brexit will increase food bills by  in threatening the country with a totally avoidable no deal brexit boris johnson is gambling with peoples lives ,jeremycorbyn
1119,2019-07-29 10:49:52+00:00,disgraceful for the government to spend m on advertising for a totally avoidable no deal brexit while four million people are in deep poverty boris johnson knows no deal will cost jobs but the tories only care about the wealthy elite who fund them ,jeremycorbyn
1137,2019-07-25 19:59:06+00:00,labour has a plan for our country we ll back a public vote on any brexit deal or no deal give the nhs the funding it needs introduce a real living wage of an hour kickstart a green industrial revolution reduce class sizes and give pensioners the dignity they deserve ,jeremycorbyn
1138,2019-07-25 19:29:44+00:00,boris johnson showed us today that he s got no plan on brexit no plan to rebuild our public services and no plan to tackle the climate emergency hes spent his leadership campaign promising tax giveaways to the richest hell work for the few well work for the many ,jeremycorbyn
