,date,text,user
17,2019-12-12 14:17:07+00:00, make the right choice today to stop brexit billion extra investment in schools tackle the climate emergency free childcare from months transform our mental health services ,joswinson
28,2019-12-11 10:47:25+00:00,brexit wrexit a european flag what a fantastic reception in esher walton ,joswinson
29,2019-12-11 09:04:10+00:00, stopping brexit amp stopping boris johnson saving our economy nhs amp planet ,joswinson
31,2019-12-10 13:04:37+00:00,thank you for giving us your support neither boris johnson nor jeremy corbyn are credible leaders neither of them can lead our country out of the chaos of brexit a broken nhs amp climate crisis vote for a ,joswinson
33,2019-12-10 09:08:21+00:00,we have an ambitious plan for our future stop brexit free childcare tackle the climate emergency recruit  more teachers and transform our mental health services together we can for a ,joswinson
53,2019-12-07 13:52:12+00:00,funding for sports organisations will be put at risk by brexit so many young people rely on these organisations so let s for a ,joswinson
58,2019-12-06 21:01:29+00:00,promise after promise boris johnson will continue to lie to you about your future brexit will be bad for our schools hospitals towns and our cities we need to and only a vote for is a vote for a ,joswinson
79,2019-12-03 19:44:10+00:00,labour made their position clear months ago a vote for jeremy corbyn is a vote for brexit only a vote for is a vote to ,joswinson
89,2019-12-02 13:45:51+00:00,this is the kind of person boris johnson aligns himself to unashamedly sexist and a complete lack of empathy for victims of sexual abuse don t let johnson and his cabal of hard line brexiteers into power on th december vote for a ,joswinson
96,2019-11-28 21:03:01+00:00,brexit is a climate crime we would be leaving our seat at the table and giving up our influence to create the change we need across the world ,joswinson
102,2019-11-27 19:52:17+00:00, they represent the best chance i can see for stopping the enormous self harm of brexit lord heseltine has offered our party his support today highlighting the importance of putting party politics aside and stopping brexit for a ,joswinson
108,2019-11-27 12:03:42+00:00,brexit will damage the livelihoods of people families and communities across the whole united kingdom every vote for is a vote to together we can build a join the fight to stop brexit now gt ,joswinson
117,2019-11-25 21:44:10+00:00,a boris johnson majority leads to a no deal brexit we have to stop boris and ,joswinson
123,2019-11-24 15:47:54+00:00,this is a recipe for no deal at the end of  liberal democrats can deprive the conservatives of a majority and stop them pushing through no deal brexit ,joswinson
124,2019-11-23 19:42:06+00:00, what do you want to stop brexit when do we want it now join our fight to by voting for ,joswinson
135,2019-11-19 22:23:46+00:00,the voice of remain was shut out of tonight you heard nothing new from two backwards looking parties both of whom want to deliver brexit you can choose differently on december vote liberal democrat to stop brexit and build a brighter future ,joswinson
136,2019-11-19 21:52:16+00:00,what johnson and corbyn wont tell you on schools brexit will make our country poorer leaving less money to invest in our childrens future liberal democrats want a brighter future by stopping brexit and investing the money we save into our schools ,joswinson
138,2019-11-19 21:15:33+00:00,what johnson and corbyn wont tell you brexit will put your jobs at risk and make your weekly food shop cost more liberal democrats will stop brexit and create a fairer economy ,joswinson
139,2019-11-19 20:53:06+00:00,johnson and corbyn wont tell you the truth the biggest threat to our nhs is brexit only the liberal democrats will stop brexit and protect our nhs ,joswinson
